id_conso,annee,operateur_id,id_filiere,code_region,code_grand_secteur,pdl,conso,code_categorie_consommation,code_naf
1,2020,0,100,93,T,7,222.5372317,ENT,39.0
2,2020,0,100,11,T,30,4391.072703,ENT,39.0
3,2020,0,100,28,T,13,1698.312407,ENT,39.0
4,2020,85,200,28,T,1,799.30601,ENT,39.0
5,2020,0,100,32,T,5,109.2328169,ENT,39.0
6,2020,0,100,24,T,4,131.4388155,ENT,39.0
7,2020,0,100,44,T,12,873.6483403,ENT,39.0
8,2020,72,100,44,T,3,327.0,ENT,39.0
9,2020,0,100,75,T,1,147.155,ENT,39.0
10,2020,71,100,75,T,1,47.0,ENT,39.0
11,2020,85,100,45,T,1,1900.0,ENT,39.0
